Name,Url
ScratchPad - realtime html + css editor,http://scratchpad.io/
Udacity,https://www.udacity.com/
Mozilla Developers Network,https://developer.mozilla.org
Comandosg Git - by ironhack,http://www.ironhack.com/git-tutorial/git-github-tutorial
Git - The simple guide,http://rogerdudler.github.io/git-guide/
Emmet documentation,http://docs.emmet.io/
Code School try git,https://try.github.io/levels/1/challenges/1
Users guide Ruby (spanish),http://es.tldp.org/Manuales-LuCAS/doc-guia-usuario-ruby/guia-usuario-ruby.pdf
Pry,http://pryrepl.org/
Ruby Operators,http://www.tutorialspoint.com/ruby/ruby_operators.htm
Repl.it - Javascript,http://repl.it/languages/JavaScript
Coding Game,https://www.codingame.com/start
Rubular,http://rubular.com/
Sinatra,http://www.sinatrarb.com/
Ruby on Rails guides,http://guides.rubyonrails.org/
Git Hub,https://github.com/
Ruby Motion,http://www.rubymotion.com/
Heroku,https://www.heroku.com/
Bootstrap,http://getbootstrap.com/
HTML5 Doctor,http://html5doctor.com/element-index/
Codepen,http://codepen.io/
Cheat Sheet - Emmet,http://docs.emmet.io/cheat-sheet/
Learn to Code - Shay Howe,http://learn.shayhowe.com/
HSL Color Picker,http://hslpicker.com/
CSS Triks,https://css-tricks.com/
Six Revisions,http://sixrevisions.com/
Media Queries,http://mediaqueri.es/
Node js,https://nodejs.org/
The Odin Project,http://www.theodinproject.com/
Code Academy,https://www.codecademy.com/learn
Learn - Modern Developer,https://learn.modern-developer.com/
JSON,http://json.org/
Codemotion Spain,http://2015.codemotion.es/
The Go Programming Language,
Homebrew,
Dev Docs - Api documentation,
Ruby on Rials Api,
Stackoverflow Rails Repo, 
ActiveRecord Migrations - Patricia Gao,
React,
Npm js,
Dart,
MadridJS,
TodoMVC,
Node js Madrid,
Slides - presentations,
CartoDB,
Micro Learning,
jQuery manual(spanish),
JavaScript is sexy,
InVision,
SQLZoo,
Rails Casts,
The Ruby Toolbox,
X-Team - Developer Resourcing,
Super Sync Sports,
Microsiervos,
Tridiv - CSS3D Editor,
Lettering.js,